id;q007;tag1;tag2;tag3
67504;Atendente precisa mais atenção e cuidado c o cidadão;reclamacao;atendimento;cordialidade
66883;tempo de espera;sugestao;atendimento;agilidade
66867;Telefone sempre ocupado, mau humor e falta de respostas.;reclamacao;atendimento;cordialidade
66862;Treinamento contínuo dos funcionários para que peguem a prática do serviço e atendam com mais eficiência, diminuindo o tempo de espera e de execução do trabalho que vai além do que é necessário e o cidadão gasta mais tempo do que o necessário. Por ser uma unidade em que frequentam muitas pessoas provenientes da zona rural e outras cidades, que gastam horas pra chegar à unidade e além de pagar o transporte pegam transporte coletivo em plena pandemia,  e muitos não dispõe de acesso à internet por celulares ou computadores, seria interessante que houvesse um computador na portaria para que os atendentes agendassem o atendimento dessas pessoas para outro dia ou até mesmo para o mesmo dia se houver vaga e esses estiverem com a documentação correta, já que muitas vezes sobram horários, desse jeito o atendimento seria otimizado e as pessoas ficariam menos expostas a possíveis contaminações, já que o transito delas entre as cidades diminuiria.  ;sugestao;atendimento;cordialidade
66804;Para facilitar colocar o nome do orgão em q fomos atendidos.No mais só elogios pontualidade, presteza no atendimento etc, etc;elogio;atendimento;pontualidade
66783;O local estava realmente limpo e aparentando organização de todas as formas.;elogio;infraestrutura;limpeza
66783;O atendimento não foi tão legal, visto que não tenho muito conhecimento de processos e foi meu primeiro, a atendente não queria explicar direito e até hoje não sei como está o andamento desse processo, parece que nunca fiz nada.;reclamacao;atendimento;cordialidade
66749;treinamento sobre como atender melhor;sugestao;atendimento;cordialidade
66681;Um pouco demorado ;reclamacao;atendimento;agilidade
66643;O SAC Jequié está de parabéns pela agilidade dos serviços de;elogio;atendimento;agilidade
66621;Mas rapidez em marca os atendimentos;sugestao;atendimento;agilidade
66564;Somente um funcionário para serviços relacionado ao Detran. Deveria ter pelo menos mais um ou dois já que a atendente estava com 7 tarefas.;reclamacao;atendimento;cordialidade
66558;Atendente um pouco fechada;reclamacao;atendimento;cordialidade
66530; Manter as atualização do site/APP como por exemplo CNH.;sugestao;atendimento;aplicativo
66512;Tudo limpo e organizado.;elogio;infraestrutura;limpeza
66458;Desorganização ;reclamacao;atendimento;organizacao
66458;Marcar o horário corretamente pra que nós não ficamos esperando tanto tempo ;sugestao;atendimento;agilidade
66451;rápido atendimento, lugar confortável, tudo bem organizado em tempos de epidemia;elogio;infraestrutura;conforto
66450;Melhora a demora de espera;sugestao;atendimento;agilidade
66380;seria mt bom colocar assentos como cadeiras ou bancos para aguardarmos do lado de fora ate chegar o horario do atendimento.;sugestao;infraestrutura;conforto
66342;Atedimwn rapido;elogio;atendimento;agilidade
66268;Ótimo atendimento e muito agilidade ;elogio;atendimento;agilidade
66257;A infraestrutura do equipamento deve ser elogiada, pois com certeza é bem superior a infraestrutura dos serviços públicos em geral. Achei bem confortável, limpo e agradável. O rapaz que me atendeu prestou um ótimo serviço, foi bem atencioso e respondeu as minhas dúvidas com boa vontade.;elogio;infraestrutura;conforto
66257;Não fui informado que mesmo com o horário agendado eu ainda pegaria uma outra fila para entrar e ser atendido na recepção, acho que essa informação deveria constar no SAC Digital para irmos preparados. Além disso, só tinha uma funcionária para controlar a entrada e dar informações para as pessoas que chegavam demandando as mais variadas informações, em tempos de pandemia, deveria ter no mínimo um outro funcionário para organizar a fila e garantir que as pessoas mantivessem o distanciamento, nem demarcadores no chão eu notei.;reclamacao;atendimento;organizacao
66223;Lugar confortável ;elogio;infraestrutura;conforto
66205;Pontual no atendimento.. ;elogio;atendimento;pontualidade
66185;Atendimento rápido e cordial ;elogio;atendimento;cordialidade
66185;Atendimento rápido e cordial ;elogio;atendimento;cordialidade
66137;Rapidez;sugestao;atendimento;agilidade
66137;Rapidez;sugestao;atendimento;agilidade
66070;Não gostei da atendente que eu fui pra tirar identidade ;reclamacao;atendimento;cordialidade
66040;agilidade e qualidade no atedimento e organização;elogio;atendimento;agilidade
66037;Gostei da agilidade no Posto SAC Capim Grosso.;elogio;atendimento;agilidade
66011;PARABÉNS PELA ESTRUTURA E PONTUALIDADE NO CUMPRIMENTO DO HORÁRIO DE AGENDAMENTO;elogio;agendamento;pontualidade
66011;RECLICLAGEM DE TREINAMENTO E MONITORAMENTO CONSTANTE COM OS COLABORADORES QUE LIDAM COM ATENDIMENTO AO PÚBLICO.;sugestao;atendimento;cordialidade
65962;Organizar a fila de entrada para evitar tumulto e aglomeração;sugestao;atendimento;organizacao
65961;Abre o portão e põe numa tela de TV o momento de poder subir para o serviço agendado;sugestao;infraestrutura;conforto
65960;GOSTEI DO BOM ATENDIMENTO , SEM AGLOMERAÇÃO E AGILIDADE.;elogio;atendimento;agilidade
65940;Estou muito satisfeita com o atendimento nota 10. Ah limpeza tava estava tudo ok;elogio;infraestrutura;limpeza
65833;No saite demora muito  agendar  e  está tendo muito  erro ;reclamacao;agendamento;agilidade
65821;Demorou um pouco, mas porque cheguei cedo;reclamacao;atendimento;agilidade
65768;Gostei muito da agilidade no atendimento, funcionária da mesa muito educada.;elogio;atendimento;agilidade
65738;Péssimo atendimento na portaria (entrada do sac). O senhor forte e a mulher que organizam a fila são super grossos, tratam todos com a maior falta de educação e super desorganizados. Nem para informar sobre qual fila pegar eles não informavam e tratavam quem perguntava de forma grosseira.;reclamacao;atendimento;cordialidade
65738;Dar um curso/treinamento ao pessoal da portaria (entrada do sac).;sugestao;atendimento;cordialidade
65737;Ótimo atendimento, e pontualidade;elogio;atendimento;pontualidade
65717;As cadeiras São desconfortaveis.;reclamacao;infraestrutura;conforto
65717;Melhorar no sentido conforto do local;sugestao;infraestrutura;conforto
65683;Se o agendamento é pelo site, que o idoso chegue no Sac como prioridade;sugestao;atendimento;satisfacao
65670;"Local climatizado; forma de agendamento boa.";elogio;infraestrutura;climatizacao
65670;Realocar funcionários para um melhor atendimento ou selecionar profissionais que tenham disponibilidade e responsabilidade para atender nos horários agendados.;sugestao;agendamento;pontualidade
65613;Rapido atendimento, rapidez em todos os processos.;elogio;atendimento;agilidade
65613;Atendente ruim de comunicação, falta de empatia.;reclamacao;atendimento;cordialidade
